Threshold,Mean,Var
-10,61.72,160.062
-10.25,50.01,128.89
-10.5,41.55,105.767
-10.75,32.36,59.5104
-11,26.6,58.88
-11.25,22.4,43.2
-11.5,17.22,41.4316
-11.75,14.24,33.0024
-12,11.72,21.3216
-12.25,9.09,18.0819
-12.5,7.03,15.7891
-12.75,5.53,11.4891
-13,4.18,7.2076
-13.25,3.2,5.12
-13.5,2.57,4.9251
-13.75,2.27,3.0571
-14,1.36,2.6704
-14.25,0.82,1.5076
-14.5,0.73,1.4771
-14.75,0.54,1.3284
-15,0.48,0.8696
-15.25,0.43,0.7451
-15.5,0.29,0.4659
-15.75,0.21,0.3459
-16,0.23,0.4971
-16.25,0.09,0.1419
-16.5,0.09,0.1619
-16.75,0.08,0.1336
-17,0.1,0.25
-17.25,0.06,0.0964
-17.5,0.02,0.0196
-17.75,0.03,0.0491
-18,0.02,0.0396
-18.25,0.02,0.0396
-18.5,0,0
-18.75,0.02,0.0396
