N18,N19,N20,N21,N22,N23
5308.000000,12814.000000,26748.000000,46128.000000,98752.000000,187784.000000
5570.000000,10504.000000,23994.000000,46026.000000,107218.000000,176826.000000
6724.000000,11718.000000,22232.000000,45286.000000,101134.000000,167036.000000
5410.000000,14190.000000,22692.000000,39530.000000,102934.000000,202300.000000
5480.000000,11392.000000,27088.000000,44768.000000,93058.000000,210124.000000
6016.000000,12668.000000,19390.000000,47720.000000,82773.000000,205800.000000
5440.000000,10568.000000,23588.000000,50918.000000,101910.000000,178996.000000
5326.000000,12119.000000,26700.000000,48310.000000,91550.000000,194548.000000
7086.000000,10932.000000,22700.000000,47281.000000,103810.000000,210920.000000
5074.000000,9056.000000,23006.000000,44488.000000,98592.000000,179898.000000
5798.000000,10936.000000,23268.000000,52336.000000,93884.000000,185300.000000
6760.000000,12214.000000,23292.000000,55706.000000,95418.000000,208230.000000
5618.000000,10356.000000,25568.000000,48036.000000,91390.000000,190712.000000
6697.000000,12710.000000,21276.000000,49072.000000,97018.000000,204528.000000
7216.000000,10800.000000,26494.000000,45362.000000,85530.000000,217466.000000
4872.000000,12236.000000,25352.000000,42406.000000,94952.000000,183416.000000
6870.000000,10534.000000,23030.000000,53828.000000,73842.000000,175898.000000
6538.000000,12810.000000,28394.000000,48594.000000,97712.000000,186630.000000
6432.000000,12054.000000,23834.000000,47454.000000,91666.000000,199174.000000
4600.000000,11742.000000,27150.000000,45856.000000,98862.000000,186346.000000
4772.000000,12706.000000,28946.000000,49850.000000,91032.000000,179838.000000
5470.000000,11828.000000,19439.000000,47218.000000,94002.000000,200848.000000
4852.000000,12440.000000,21858.000000,50794.000000,99090.000000,180378.000000
5474.000000,9266.000000,23968.000000,47296.000000,100850.000000,175158.000000
6772.000000,12123.000000,19380.000000,41790.000000,96386.000000,192142.000000
6030.000000,13180.000000,22740.000000,51272.000000,108272.000000,180214.000000
6236.000000,9642.000000,26772.000000,41032.000000,100950.000000,177226.000000
5236.000000,12020.000000,21338.000000,41232.000000,84930.000000,203658.000000
6620.000000,11568.000000,23956.000000,40522.000000,82108.000000,169752.000000
5896.000000,9454.000000,21244.000000,44616.000000,107704.000000,169436.000000
4772.000000,12886.000000,23388.000000,43092.000000,96934.000000,194116.000000
6042.000000,13118.000000,26586.000000,47704.000000,95472.000000,183086.000000
5548.000000,9764.000000,25160.000000,46338.000000,76378.000000,180290.000000
5806.000000,11936.000000,26564.000000,42058.000000,101361.000000,189524.000000
5986.000000,11555.000000,22384.000000,49390.000000,89832.000000,190326.000000
6612.000000,12114.000000,22378.000000,42184.000000,91946.000000,199460.000000
5418.000000,11812.000000,24526.000000,41454.000000,95086.000000,179124.000000
5676.000000,11818.000000,22962.000000,48268.000000,99434.000000,207866.000000
6434.000000,13064.000000,22144.000000,54214.000000,96882.000000,198170.000000
6468.000000,12156.000000,23138.000000,40362.000000,96454.000000,204166.000000
7184.000000,14002.000000,25274.000000,49256.000000,112362.000000,186942.000000
5788.000000,8588.000000,23450.000000,52528.000000,98714.000000,191519.000000
6174.000000,11162.000000,24574.000000,49240.000000,100680.000000,199404.000000
6162.000000,10332.000000,23966.000000,46602.000000,79816.000000,204642.000000
5420.000000,14026.000000,24472.000000,49718.000000,105004.000000,200280.000000
6558.000000,11018.000000,23795.000000,45296.000000,93292.000000,185064.000000
5368.000000,11222.000000,22410.000000,40310.000000,88572.000000,202926.000000
5900.000000,13400.000000,21272.000000,51446.000000,82204.000000,205054.000000
6138.000000,12096.000000,25890.000000,43064.000000,95896.000000,180902.000000
5764.000000,10626.000000,24126.000000,38644.000000,85894.000000,188254.000000
5628.000000,12142.000000,23482.000000,43784.000000,84812.000000,178302.000000
5578.000000,12774.000000,20850.000000,45578.000000,110504.000000,216464.000000
5270.000000,11822.000000,24038.000000,54014.000000,88096.000000,185667.000000
5870.000000,13602.000000,24568.000000,45138.000000,92052.000000,179292.000000
6790.000000,13544.000000,18604.000000,40322.000000,96706.000000,188178.000000
5134.000000,12322.000000,25326.000000,44178.000000,92382.000000,169026.000000
6154.000000,13645.000000,24800.000000,40602.000000,93870.000000,204048.000000
6224.000000,11508.000000,23942.000000,44476.000000,97906.000000,198566.000000
5296.000000,11052.000000,21400.000000,49862.000000,93938.000000,186682.000000
4598.000000,11378.000000,25192.000000,43212.000000,94526.000000,176187.000000
6578.000000,11496.000000,32278.000000,49780.000000,91886.000000,179192.000000
5414.000000,11702.000000,24454.000000,49516.000000,97484.000000,167420.000000
5496.000000,15130.000000,24896.000000,50222.000000,94326.000000,173744.000000
5922.000000,13880.000000,24364.000000,46668.000000,96176.000000,170584.000000
6172.000000,8908.000000,18306.000000,40476.000000,89816.000000,217726.000000
6442.000000,14004.000000,26108.000000,44702.000000,98122.000000,206390.000000
7028.000000,11090.000000,21902.000000,41206.000000,88264.000000,208164.000000
