L,mean,var
-15,54.015,472.164775
-15.1,48.905,455.845975
-15.2,46.88,367.6956
-15.3,39.415,351.722775
-15.4,38.155,372.100975
-15.5,33.435,286.445775
-15.6,29.905,268.925975
-15.7,29.985,271.184775
-15.8,26.535,192.458775
-15.9,22.75,139.6075
-16,21.565,151.365775
-16.1,19.515,134.609775
-16.2,17.635,145.281775
-16.3,16.385,88.026775
-16.4,14.97,94.3491
-16.5,13.33,62.0611
-16.6,12.37,63.44
-16.7,3.17,10.07110031
-16.8,9.645,49.498975
-16.9,9.725,56.429375
-17,8.82,36.4076
-17.1,8.09,45.4819
-17.2,6.935,27.200775
-17.3,7.04,36.0284
-17.4,6.045,28.972975
-17.5,5.695,28.681975
-17.6,5.095,21.085975
-17.7,4.365,15.781775
-17.8,3.77,14.9471
-17.9,3.38,10.0556
-18,3.17,10.0711
-18.1,2.795,6.412975
-18.2,2.46,8.4284
-18.3,2.81,9.8439
-18.4,2.065,6.940775
-18.5,1.795,4.832975
-18.6,1.805,4.956975
-18.7,1.485,3.229775
-18.8,1.275,2.989375
-18.9,1.35,3.9775
,1.175,3.774375
