x,y
328.94,2252.52
295.2,2223.36
262.82,1541.77
230.8,1707.76
205.78,1635.35
184.64,1048.71
157.84,776.934
144.06,824.596
127.18,600.648
109.4,580.6
97.56,692.846
81.3,532.75
73.56,429.326
61.9,324.83
56.08,296.234
47.68,251.018
40.18,152.248
38.22,155.192
31.02,140.28
27.82,102.168
22.46,87.0284
21.4,90.04
17.46,58.4684
15.7,49.07
12.84,51.4544
11.72,38.9616
10.22,36.6316
8.78,29.8316
6.62,19.8956
5.64,18.5104
73.68,311.898
62.98,257.88
54.22,227.992
44.88,226.586
35.78,150.872
29.78,132.232
24.96,89.6384
21.46,75.6684
19.82,85.2076
16.34,57.0444
12.96,35.7184
10.54,31.8284
8.82,24.5676
7.38,19.5756
5.64,15.7104
4.02,11.6396
4.24,15.0624
3.02,9.7996
2.32,6.3776
2.3,4.99
