L,mean,var
-12.1667,9.395,9.61897
-12.25,8.38,10.1156
-12.3333,8.005,8.29498
-12.4167,7.045,8.48298
-12.5,6.855,8.25397
-12.5833,6.31,8.2239
-12.6667,5.67,6.8911
-12.75,5.29,6.2359
-12.8333,4.695,4.82198
-12.9167,4.6,5.02
-13,4.235,4.47977
-13.0833,3.915,4.09777
-13.1667,3.54,4.4284
-13.25,3.22,3.8516
-13.3333,2.955,3.26298
-13.4167,2.75,3.1675
-13.5,2.47,2.3291
-13.5833,2.295,2.45797
-13.6667,2.06,2.2764
-13.75,2.185,2.26077
-13.8333,1.735,1.78477
-13.9167,1.68,1.6976
-14,1.52,1.8596
-14.0833,1.28,1.2416
-14.1667,1.275,1.46938
-14.25,1.16,1.0044
-14.3333,0.86,0.9904
-14.4167,0.905,0.895975
-14.5,0.86,0.7404
-14.5833,0.82,0.8376
-14.6667,0.735,0.694775
-14.75,0.63,0.6031
-14.8333,0.545,0.497975
-14.9167,0.565,0.645775
