Mean,Variance
167039.52,4248832.814
166996.9,3056148.492
167133.55,2943028.56
166984.47,3281657.808
166897.62,3772797.483
167175.52,3182499.427
166942.63,3774313.47
167161.56,3312584.931
166933.97,3351598.693
167153.16,2937112.055
166864.03,3160014.853
167104.82,2768646.48
167056.3,3103665.437
166975.09,3582920.555
167058.43,3832876.618
167002.48,3263808.13
167146.09,3049404.394
167167.36,3600348.372
167034.8,3408979.538
167122.25,3783287.234
167109.61,3694229.978
167036.87,3854906.234
166798.77,3705370.6
167084.43,3357942.99
167131.2,3386016.241
167113.04,3190746.853
167224.52,3546576.211
166865.96,3399619.657
167124.44,3618634.901
167161.35,3783374.912
166935.22,4200937.077
167003.11,3567485.375
166844.6,3879376.281
167166.3,4441809.518
167296.32,3560172.199
166995.16,3201467.673
166915.35,4423237.867
167142.33,2940991.066
167050,4106203.377
167154.47,3537221.507
166950.96,3716996.823
167003.44,3163498.137
167061.15,3213611.917
167107.65,2907108.118
166933.46,3268563.727
166920.92,3186254.587
167001.78,3808791.268
166958.91,3355686.705
167010.72,3250815.318
167090.4,3424104.523
166853.32,3132993.988
166970.52,3085216.01
166904.7,4081656.432
167279.2,3651778.814
166808.3,3467310.462
166961.64,3720439.428
166900.97,3175557.426
167068.98,3327200.12
166834.57,3775552.015
167016.07,3708832.337
166836.49,3623414.854
167151.56,3400180.228
167152.61,3208113.857
167025.92,3859835.893
167035.13,3321602.516
166831.99,3853287.899
166925.72,3096418.936
167121.65,3578464.46
167001.45,3668545.726
167062.73,3955145.414
166913.49,3804260.945
167063.89,3043649.134
166890.18,3476451.224
167199.33,3912511.609
167053.54,3596072.069
167122.95,3040647.113
167209.9,2979141.417
166960.26,3396285.641
166923.71,4020601.986
167219.66,3849072.326
167235.78,3355822.102
166821.14,3630455.578
167178.72,3282193.248
166978.45,3517509.485
167243.39,3470136.852
167208.4,3098870.794
166830.4,3842231.317
167160.97,2859260.22
167017.79,2774285.524
167035.81,3027568.426
166993.51,3485750.09
167190.7,3663182.784
167065.15,3160961.706
166991.44,3462080.81
166945.68,3286340.761
166938.21,3710500.679
167020.55,3486953.807
167078.65,3576730.49
166939.62,3041462.93
167073.9,3507245.618
