N18,N19,N20,N21,N22,N23
46,2,0,6,30,58
82,42,16,64,12,6
0,0,12,0,228,0
2,12,42,54,10,0
0,36,4,8,10,118
22,48,0,74,16,14
8,52,6,172,0,0
120,10,152,18,54,10
4,8,62,0,0,4
30,0,6,4,30,4
8,10,0,28,2,36
0,16,20,2,0,90
36,50,0,0,2,6
12,8,48,0,22,76
2,0,0,14,2,0
4,0,0,14,0,2
2,16,0,12,12,6
74,0,286,74,2,10
8,8,110,0,26,2
0,38,10,0,26,8
2,2,38,96,0,0
8,56,18,0,76,18
12,16,18,2,30,180
4,10,12,58,2,2
4,0,116,26,2,0
30,12,18,70,44,14
0,4,0,40,2,0
0,22,30,6,0,2
96,6,2,46,46,54
12,40,118,0,70,0
14,6,16,4,0,10
4,4,16,4,0,4
26,56,16,6,2,6
6,8,24,4,4,0
4,6,64,38,34,2
80,12,66,0,0,4
34,0,24,70,30,60
0,12,0,20,48,0
4,4,22,20,6,0
32,86,44,50,12,0
0,8,2,10,0,46
22,72,46,0,50,14
0,0,24,12,8,76
0,4,12,132,10,4
202,374,40,2,68,14
72,0,8,14,0,2
4,0,8,2,28,8
60,74,2,0,0,10
22,22,12,8,18,74
26,4,10,2,10,10
20,2,92,14,2,2
34,30,70,0,4,12
22,16,34,0,4,0
36,48,20,0,10,8
32,16,28,36,20,0
64,16,14,8,64,0
42,0,4,0,0,0
22,30,6,4,12,38
2,28,16,110,116,46
12,2,46,6,18,4
24,44,12,0,0,46
40,70,0,20,14,0
10,26,120,24,28,4
56,58,92,2,6,2
0,6,0,2,14,0
20,0,10,70,26,0
0,48,6,16,60,62
0,22,2,26,2,0
52,52,2,0,0,0
2,20,42,8,46,14
0,18,0,6,52,18
8,6,12,16,80,18
10,40,10,6,20,0
34,10,8,84,16,26
2,0,28,6,0,6
6,58,16,4,0,0
20,10,2,2,0,28
28,4,0,16,0,32
8,0,12,0,0,50
30,6,36,30,24,0
0,20,0,98,2,0
72,0,2,4,4,152
42,28,46,2,0,20
6,0,42,0,24,8
4,16,0,8,68,36
0,16,0,10,0,0
12,14,4,2,12,10
36,0,52,18,114,56
10,10,38,0,2,0
6,6,14,12,10,0
6,36,50,18,48,2
56,2,4,20,78,26
0,2,10,0,0,8
0,20,56,306,28,22
16,4,6,90,8,0
0,4,14,132,8,8
10,0,6,0,0,14
4,64,0,10,4,32
54,38,2,28,32,0
18,12,22,8,0,90
8,4,80,12,0,62
30,4,2,4,62,54
14,10,18,14,8,0
70,0,0,8,38,26
18,52,8,24,10,14
2,50,104,2,20,36
36,16,58,24,82,0
50,28,12,14,98,16
16,0,96,0,22,68
48,2,38,0,46,8
34,30,12,24,20,188
42,40,4,0,4,4
14,0,28,28,96,16
4,10,0,78,0,0
0,50,2,0,0,0
2,28,90,0,4,0
2,94,46,18,12,30
0,8,2,32,6,290
14,26,24,0,0,14
30,4,18,0,4,4
8,8,8,6,6,0
0,28,60,0,2,0
8,4,24,4,0,0
26,18,0,10,0,0
18,8,42,4,58,2
42,0,42,6,58,0
8,8,36,32,0,2
8,0,4,0,2,48
12,44,0,0,24,44
6,0,112,18,4,0
36,16,2,0,358,124
22,14,6,2,0,4
24,0,16,70,46,36
8,54,22,2,76,0
4,6,0,60,0,0
0,6,0,198,2,0
14,26,26,8,8,14
4,0,14,76,16,12
4,0,18,34,12,30
50,0,2,18,10,2
8,2,2,36,6,0
34,26,50,0,2,56
8,0,8,2,30,2
34,0,0,124,2,60
24,8,142,2,16,20
48,0,6,0,2,4
0,52,32,0,0,0
2,22,74,0,0,0
18,0,0,2,2,282
42,0,0,70,42,0
40,10,0,14,78,12
0,16,12,0,18,6
0,16,18,76,0,0
6,0,0,32,0,0
20,30,6,0,0,0
62,4,8,0,2,6
0,28,30,0,2,68
26,2,8,8,0,40
12,210,20,0,8,68
2,0,16,16,8,38
36,0,6,34,0,14
0,2,2,0,0,94
46,2,84,18,0,0
20,4,10,4,40,152
26,12,2,8,6,0
36,0,12,26,2,24
28,24,36,0,8,16
0,0,0,0,2,2
12,0,0,6,14,0
12,44,0,40,28,0
6,46,0,0,94,12
0,8,56,12,114,2
12,36,2,8,4,0
76,6,0,18,0,68
8,14,2,8,12,0
56,36,12,30,38,0
12,0,14,22,8,0
16,40,2,12,0,160
70,0,60,40,4,0
6,2,30,0,2,12
42,52,30,130,12,8
48,0,40,0,4,44
24,8,2,0,2,12
70,28,0,40,0,190
2,0,32,0,2,0
2,30,0,44,36,44
8,16,0,4,20,0
0,70,0,6,6,0
68,12,14,34,0,0
14,0,14,0,40,2
16,2,44,2,4,0
0,4,16,12,12,22
0,8,4,94,2,2
18,12,0,60,10,4
12,2,40,120,4,2
10,66,12,4,0,2
18,22,22,0,24,8
20,58,0,2,14,6
8,36,30,12,2,32
