N18,N19,N20,N21,N22,N23
44,76,100,76,0,46
74,8,0,2,2,12
0,42,4,0,26,56
10,14,56,6,2,12
54,92,102,14,8,62
14,4,4,8,14,18
16,16,4,32,6,14
20,30,6,12,6,38
56,4,44,8,166,6
46,20,30,4,86,58
16,186,46,28,2,12
16,138,10,78,12,0
60,94,22,168,10,36
92,2,4,16,2,0
2,106,24,36,60,18
4,68,120,58,6,44
212,42,12,0,4,14
54,4,36,6,18,10
32,54,0,28,60,66
240,6,4,12,4,46
70,46,118,24,2,34
4,32,6,6,56,10
16,0,4,18,6,2
14,76,104,20,134,24
0,34,86,0,60,164
6,0,16,60,140,0
56,80,64,10,22,0
22,180,46,90,0,0
128,4,2,68,6,32
268,34,18,30,42,16
8,56,26,6,20,4
34,188,2,292,192,78
50,26,0,238,20,0
38,6,0,36,0,10
48,132,46,8,66,0
2,28,14,2,24,8
4,0,184,2,84,24
4,50,14,26,8,10
36,84,136,2,6,18
0,2,0,10,46,32
54,14,452,114,22,4
22,44,6,316,42,30
20,30,6,48,118,0
4,26,12,32,154,76
0,26,84,28,104,6
4,44,14,138,18,74
50,36,32,2,6,58
6,22,12,72,0,4
38,6,16,64,12,2
12,12,76,40,4,2
10,10,44,20,16,64
6,28,10,280,34,2
14,50,16,76,22,166
42,78,26,14,0,32
2,22,14,192,20,56
66,102,42,34,2,64
56,26,6,118,6,310
6,82,8,16,40,22
14,2,78,70,104,18
0,24,54,0,16,88
180,14,24,44,0,110
20,18,4,68,62,0
52,6,86,156,0,40
10,50,16,46,182,0
16,10,50,6,42,0
0,4,6,34,4,14
40,120,12,30,6,84
34,28,8,0,28,14
60,76,2,2,2,38
50,80,0,0,12,6
22,12,98,52,86,20
14,80,2,0,274,4
0,28,56,0,50,0
42,6,40,40,28,12
44,56,0,12,174,66
22,8,4,104,8,18
12,2,38,0,16,18
38,0,52,16,10,4
36,58,6,0,16,38
46,0,6,4,20,16
54,132,4,52,22,0
6,20,26,86,0,76
42,62,6,36,26,0
18,36,4,0,10,0
18,10,6,44,46,78
38,14,64,200,26,0
94,46,8,6,4,10
88,4,4,36,44,64
16,8,12,84,28,110
16,8,34,6,192,16
92,34,8,16,0,68
24,104,82,22,4,114
24,58,8,74,0,6
42,8,12,86,6,2
16,68,34,218,48,38
0,10,12,28,2,30
32,60,62,24,0,188
12,48,108,58,4,20
80,46,20,12,28,4
120,0,8,110,0,46
32,40,22,38,42,4
0,2,70,48,40,8
0,52,32,14,34,26
20,68,78,24,40,0
34,130,16,44,0,38
80,44,26,14,78,48
30,20,34,14,20,12
58,32,64,12,448,4
60,2,28,176,0,34
2,16,16,120,0,2
100,0,112,316,38,2
72,20,58,190,180,102
60,18,8,4,0,108
222,0,80,42,0,54
188,108,0,16,14,6
86,14,58,14,4,22
2,110,24,4,0,14
190,18,50,8,90,224
52,72,2,10,320,42
30,30,36,0,26,4
56,16,2,50,0,30
38,14,14,2,10,26
32,134,38,18,52,0
12,2,6,16,124,4
24,8,24,0,34,10
36,60,34,16,6,60
48,42,32,116,10,2
22,134,40,58,0,16
10,4,60,20,0,36
16,30,58,212,108,4
58,4,24,0,88,30
30,88,16,12,6,0
8,10,48,82,24,0
92,46,96,14,86,8
10,62,34,22,0,4
8,54,22,22,108,70
104,2,100,46,0,6
186,68,2,12,14,2
6,4,0,12,2,44
28,50,8,6,0,0
56,34,38,2,30,6
8,68,34,6,0,4
12,4,2,14,10,10
28,110,98,0,214,4
2,0,42,88,516,40
30,34,66,52,4,8
14,40,14,98,10,266
4,10,26,12,8,10
56,66,0,40,42,2
116,76,24,22,0,2
78,20,24,294,94,0
48,6,0,22,76,14
6,16,40,24,78,4
240,0,4,124,8,32
38,100,24,4,126,0
18,20,46,2,4,0
92,122,4,0,6,0
38,0,66,18,2,12
44,12,2,46,12,4
50,2,84,202,8,14
10,12,14,4,2,20
12,22,2,88,10,2
32,56,20,144,0,0
28,22,0,0,38,192
16,30,60,22,92,4
98,22,20,32,22,0
40,6,0,20,4,0
16,18,32,18,28,88
34,14,42,78,0,54
12,234,16,38,64,6
16,8,8,54,120,44
54,60,4,316,140,42
42,2,62,22,10,14
6,64,0,0,14,2
10,8,18,24,28,6
42,28,2,0,6,0
26,2,38,14,8,78
8,36,0,60,42,14
12,66,0,32,138,10
94,0,116,110,346,34
26,34,2,2,0,170
30,72,14,10,0,108
10,12,0,80,184,20
12,86,8,2,80,0
12,2,78,80,0,18
150,86,76,86,2,0
2,18,8,16,12,0
60,4,108,22,0,10
42,128,6,150,4,10
58,22,58,0,88,0
28,14,18,54,20,2
22,8,50,0,4,44
20,76,298,4,4,16
10,102,52,14,0,144
24,2,148,0,12,4
18,18,24,6,28,0
86,2,16,0,72,112
16,30,24,12,28,10
4,42,172,14,46,0
78,46,48,164,0,8
