0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 2, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 1, 0, 
4, 2, 4, 4, 2, 4, 2, 0, 1, 1, 0, 1, 2, 1, 2, 2, 2, 0, 0, 2, 1, 2, 3, 0, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 0, 2, 2, 0, 2, 0, 4, 1, 2, 4, 2, 0, 2, 0, 2, 2, 0, 2, 4, 2, 2, 3, 0, 2, 2, 2, 2, 0, 1, 0, 4, 3, 0, 0, 2, 1, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 4, 1, 4, 2, 2, 2, 2, 2, 0, 1, 2, 2, 3, 
6, 5, 2, 4, 2, 4, 2, 2, 4, 4, 2, 2, 4, 6, 3, 2, 3, 3, 2, 4, 4, 3, 4, 2, 4, 0, 1, 4, 4, 4, 2, 2, 4, 4, 6, 8, 4, 4, 4, 4, 4, 6, 3, 2, 4, 3, 2, 4, 5, 4, 7, 4, 2, 2, 4, 5, 2, 1, 4, 2, 4, 1, 4, 3, 3, 6, 6, 0, 1, 4, 7, 6, 4, 6, 5, 4, 6, 5, 6, 1, 3, 3, 1, 4, 6, 6, 4, 5, 4, 4, 2, 4, 6, 2, 7, 2, 4, 4, 0, 2, 
9, 7, 10, 6, 10, 10, 7, 14, 8, 4, 10, 7, 6, 8, 16, 6, 6, 6, 11, 7, 10, 6, 10, 8, 10, 12, 14, 8, 10, 7, 8, 10, 6, 6, 6, 8, 9, 9, 15, 7, 4, 8, 12, 7, 8, 8, 8, 6, 6, 10, 8, 6, 12, 6, 8, 6, 12, 10, 7, 8, 8, 9, 6, 2, 4, 6, 11, 9, 7, 7, 8, 7, 8, 8, 10, 3, 10, 4, 5, 8, 8, 9, 8, 6, 6, 10, 12, 10, 4, 14, 10, 3, 8, 7, 6, 14, 13, 12, 6, 5, 
18, 11, 20, 12, 20, 13, 20, 16, 23, 17, 14, 16, 23, 14, 12, 18, 16, 12, 16, 16, 15, 16, 13, 16, 14, 14, 16, 17, 16, 19, 15, 20, 22, 16, 12, 18, 10, 19, 19, 12, 24, 16, 14, 14, 10, 14, 22, 22, 14, 14, 12, 18, 19, 11, 14, 18, 14, 24, 10, 20, 13, 12, 13, 14, 16, 21, 10, 15, 18, 18, 14, 23, 16, 10, 16, 14, 15, 12, 15, 20, 18, 18, 23, 16, 14, 13, 16, 10, 16, 20, 19, 14, 22, 19, 10, 16, 20, 16, 20, 12, 
37, 38, 37, 28, 32, 39, 32, 38, 34, 30, 38, 36, 34, 41, 39, 24, 34, 22, 30, 37, 30, 36, 38, 40, 28, 30, 41, 29, 40, 37, 29, 36, 33, 24, 42, 22, 45, 24, 26, 30, 35, 43, 36, 40, 32, 44, 32, 34, 35, 39, 34, 32, 27, 36, 36, 42, 32, 25, 39, 28, 32, 30, 38, 30, 40, 30, 33, 46, 34, 30, 45, 38, 37, 30, 27, 38, 31, 32, 38, 28, 34, 30, 33, 33, 32, 25, 34, 33, 38, 33, 26, 28, 38, 32, 32, 29, 34, 34, 36, 30, 
68, 52, 78, 68, 70, 75, 49, 74, 97, 62, 50, 72, 61, 67, 74, 73, 75, 68, 76, 76, 71, 70, 70, 86, 64, 68, 83, 64, 64, 72, 81, 54, 69, 73, 68, 69, 56, 76, 73, 70, 68, 63, 65, 71, 78, 76, 64, 64, 69, 75, 73, 68, 62, 66, 70, 69, 57, 58, 58, 64, 69, 80, 62, 71, 65, 60, 78, 56, 76, 86, 78, 68, 56, 67, 72, 50, 66, 62, 61, 72, 51, 56, 54, 54, 81, 70, 74, 78, 64, 77, 72, 84, 62, 87, 73, 57, 66, 78, 46, 76, 
150, 118, 132, 102, 124, 139, 149, 144, 167, 144, 130, 130, 122, 152, 150, 141, 148, 124, 143, 139, 166, 120, 132, 140, 124, 140, 142, 153, 130, 164, 146, 128, 163, 164, 132, 98, 140, 110, 147, 128, 140, 132, 124, 146, 150, 148, 146, 127, 134, 136, 148, 126, 131, 158, 126, 135, 123, 114, 164, 114, 154, 125, 150, 137, 138, 142, 168, 146, 152, 126, 130, 146, 118, 153, 125, 143, 114, 151, 138, 119, 120, 143, 154, 132, 120, 159, 130, 146, 126, 137, 162, 147, 110, 139, 146, 129, 138, 118, 152, 133, 
267, 235, 290, 270, 252, 242, 274, 279, 257, 276, 258, 301, 280, 311, 284, 318, 252, 250, 304, 281, 280, 300, 236, 300, 268, 292, 244, 272, 266, 274, 266, 293, 276, 265, 265, 309, 294, 316, 205, 268, 302, 274, 312, 254, 249, 267, 294, 310, 304, 254, 275, 292, 263, 300, 269, 314, 308, 282, 306, 282, 276, 260, 312, 301, 288, 248, 300, 232, 258, 292, 282, 288, 285, 287, 318, 276, 319, 232, 274, 288, 234, 286, 258, 258, 311, 281, 292, 284, 342, 279, 298, 288, 314, 309, 266, 225, 247, 297, 242, 274, 
552, 580, 498, 536, 576, 606, 510, 628, 600, 567, 554, 610, 544, 493, 532, 650, 652, 614, 562, 586, 587, 520, 542, 534, 569, 696, 564, 550, 501, 568, 640, 540, 619, 574, 528, 568, 502, 518, 554, 565, 539, 448, 612, 519, 548, 590, 558, 552, 542, 587, 663, 503, 604, 587, 619, 529, 574, 515, 616, 521, 506, 506, 572, 612, 536, 560, 527, 518, 581, 522, 513, 528, 587, 629, 589, 505, 551, 556, 524, 635, 563, 632, 558, 601, 425, 595, 563, 557, 552, 602, 533, 551, 583, 548, 582, 499, 580, 444, 532, 538, 
