mean,var
3.34,5.2644
3.6,8.16
3.74,6.6524
3.86,6.4404
3.93,7.2051
3.95,9.4875
3.96,6.3984
4.06,6.6764
4.09,6.0819
4.21,7.9059
4.27,8.3971
4.27,9.8771
4.3,6.39
4.33,9.1411
4.33,7.1211
4.41,9.4019
4.42,9.7436
4.57,8.1051
4.57,9.3651
4.63,9.3731
10.47,20.7691
10.6,16.9
10.65,21.6275
10.78,19.8316
10.87,26.3531
10.94,28.2964
10.97,22.6491
11.01,22.8099
11.01,26.7499
11.13,23.2531
11.14,27.1604
11.18,21.5476
11.35,19.2075
11.36,23.9904
11.44,27.1064
11.54,24.0684
11.63,17.7131
11.67,27.9811
11.82,23.4876
12.05,21.6475
