x,y
1520.9,3382.49
1302.7,2277.41
1187.3,1749.01
1029.6,2299.04
885.9,3612.89
798.2,1789.56
661.4,1128.64
604.8,2057.16
517.5,1493.85
434,1210.6
391.1,1097.69
318.4,514.44
272.9,1495.09
217.1,321.89
197.6,287.64
171.6,373.44
123.9,421.29
109,232
84.5,114.05
67.8,140.96
68.2,223.76
47.2,100.96
38.8,27.56
31.8,61.76
25.9,55.69
22,39
14.1,15.29
11.9,8.09
9.9,28.09
9.2,12.76
7.3,12.01
4.6,11.84
4,5
3.6,4.24
2.9,6.49
2.2,6.96
0.3,0.21
1,2.4
0.6,0.64
0.5,0.65
0.3,0.41
0.3,0.41
0.1,0.09
0.1,0.09
0,0
0.2,0.36
0,0
0.1,0.09
912,5960
850.7,1851.41
802.9,1691.69
749.3,2555.81
705.7,985.81
688.3,4345.01
655,1270.2
605.5,2347.05
566.1,793.69
538,560.8
520.3,1549.61
475.9,1811.49
435,1834.2
410.9,1048.49
397.2,820.56
366.4,1250.04
355.4,727.44
310.3,2027.21
297.5,1758.65
296.4,1653.64
282.5,681.65
247,1135.4
230.6,962.64
221.3,417.81
209.2,239.96
199.4,845.44
171.4,305.04
169.9,272.49
139.2,249.36
145.6,265.64
122.9,513.89
124.3,86.81
113.5,463.45
99.7,345.41
102.1,258.49
93.3,112.21
80.5,308.45
86.7,235.21
67.5,125.25
67.1,107.29
72.5,225.25
57.3,102.01
45.8,62.96
49.7,57.61
43.1,38.29
41.3,76.61
42.3,106.41
35.4,58.24
33.1,89.29
29.6,36.04
61.72,160.062
50.01,128.89
41.55,105.767
32.36,59.5104
26.6,58.88
22.4,43.2
17.22,41.4316
14.24,33.0024
11.72,21.3216
9.09,18.0819
7.03,15.7891
5.53,11.4891
4.18,7.2076
3.2,5.12
2.57,4.9251
2.27,3.0571
1.36,2.6704
0.82,1.5076
0.73,1.4771
0.54,1.3284
0.48,0.8696
0.43,0.7451
0.29,0.4659
0.21,0.3459
0.23,0.4971
0.09,0.1419
0.09,0.1619
0.08,0.1336
0.1,0.25
0.06,0.0964
0.02,0.0196
0.03,0.0491
0.02,0.0396
0.02,0.0396
0,0
0.02,0.0396
