"","x"
"1",0
"2",0.53005737968977
"3",0.787141864847196
"4",1.02302950070806
"5",1.25309653234028
"6",1.48307634151796
"7",1.71588672280968
"8",1.9532934689101
"9",2.19649895202362
"10",2.44639747932089
"11",2.70370182086119
"12",2.96901213960635
"13",3.24285633912704
"14",3.52571506217091
"15",3.81803791878209
"16",4.12025444555485
"17",4.43278176626691
"18",4.75603011491453
"19",5.09040693258602
"20",5.43631998899427
"21",5.79417982279925
"22",6.16440169760652
"23",6.54740720847095
"24",6.94362563314699
"25",7.35349509518889
"26",7.77746358750064
"27",8.21598989209416
"28",8.66954442275579
"29",9.13861001084273
"30",9.62368264973134
"31",10.1252722099949
"32",10.6439031348285
"33",11.1801151233304
"34",11.7344638077975
"35",12.3075214300975
"36",12.8998775213357
"37",13.5121395883856
"38",14.1449338103515
"39",14.798905747645
"40",15.4747210660526
"41",16.1730662779417
"42",16.8946495025737
"43",17.6402012473527
"44",18.4104752117415
"45",19.2062491154972
"46",20.0283255528285
"47",20.8775328740446
"48",21.7547260962401
"49",22.6607878445699
"50",23.5966293256549
"51",24.5631913346908
"52",25.5614452978491
"53",26.592394351588
"54",27.6570744605379
"55",28.7565555756614
"56",29.8919428344433
"57",31.0643778049211
"58",32.2750397754217
"59",33.5251470919493
"60",34.8159585452179
"61",36.1487748094237
"62",37.5249399349089
"63",38.9458428969785
"64",40.4129192031864
"65",41.9276525615458
"66",43.491576612188
"67",45.1062767251086
"68",46.7733918667522
"69",48.4946165383076
"70",50.2717027886942
"71",52.106462305384
"72",54.0007685862724
"73",55.9565591960375
"74",57.9758381105184
"75",60.0606781528006
"76",62.2132235248983
"77",64.4356924390758
"78",66.7303798529788
"79",69.0996603130688
"80",71.5459909108898
"81",74.0719143570109
"82",76.6800621777161
"83",79.3731580396279
"84",82.1540212078364
"85",85.0255701432529
"86",87.9908262452222
"87",91.0529177456819
"88",94.2150837614634
"89",97.4806785116249
"90",100.853175707032
"91",104.336173119738
"92",107.933397340068
"93",111.648708729681
"94",115.486106579281
"95",119.44973448004
"96",123.543885918262
"97",127.773010103213
"98",132.141718038582
"99",136.654788848468
"100",141.317176369392
"101",146.134016020295
